,SMILES
2,Nc(n4)c(n3)c(nc4)n(c3)[C@H](O1)[C@H](O)[C@H](O2)[C@@H](COP(O)(=O)2)1
5,OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)C(OC(=O)C=Cc(c2)c(O)ccc2)1
8,OC[C@@H](O1)[C@@H](O4)[C@@H](OP(O)(=O)4)[C@@H]1n(c3)c(n2)c(n3)c(N)nc2
11,OC[C@@H](O)[C@@H](O)[C@@H](O)CN(C(C)2)C(=N1)C(=NC(C)2)C(=O)NC(=O)1
14,OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)C(Oc(c2)c(ccc2)C=CC(O)=O)1
17,COc(c1)c(O)c(OC)cc(C=CC(=O)OC(C(O)=O)C(O)=O)1
20,O=C(N4)c(n3)c(N=C4)n(c3)[C@H](O1)[C@H](O)[C@H](O2)[C@@H](COP(O)(=O)2)1
23,NC(N4)=Nc(c3C(=O)4)n(cn3)[C@H](O1)C[C@H](O2)[C@@H](COP(O)(=O)2)1
26,Nc(n3)c(n2)c(nc3)n(c2)[C@@H](C1)O[C@H](COP(O)(O)=O)[C@@H](O)1
29,O[C@@H](C1)[C@@H](COP(O)(O)=O)O[C@H]1n(c3)c(n2)c(n3)c(O)nc2
32,OCC(=C1)C(N)=NC(=O)N1[C@@H](C2)O[C@H](COP(O)(O)=O)[C@@H](O)2
35,OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](N)[C@@H]1O[C@H]([C@@H](CO)2)[C@H](O)[C@@H](N)[C@H](O)O2
38,OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)C1O[C@H]([C@@H](CO)2)[C@H](O)[C@@H](O)C(=O)O2
41,OC[C@@H](O1)[C@H](O)C(=O)[C@@H](O)[C@@H]1O[C@H]([C@@H](CO)2)[C@H](O)[C@@H](O)C(O)O2
44,OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H](O)[C@@H](OC[C@@H](O2)[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)2)1
47,OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O[C@H]([C@@H](CO)2)[C@H](O)[C@@H](O)C(O)O2
50,OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)C1O[C@H]([C@@H](CO)2)[C@H](O)[C@@H](O)C(O)O2
53,OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@H]([C@@H](CO)2)[C@H](O)[C@@H](O)C(O)O2
56,OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H](OC[C@@H](O2)[C@@H](O)[C@H](O)[C@@H](O)C(O)2)1
59,OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)C1O[C@H]([C@@H](CO)2)[C@H](O)[C@@H](O)C(O)O2
62,OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)C1OC(O2)[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)2
65,OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)C1O[C@H]([C@@H](CO)2)[C@H](O)[C@@H](O)C(O)O2
68,OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](OC[C@@H](O2)[C@@H](O)[C@H](O)[C@@H](O)C(O)2)1
71,OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)C1O[C@@H]([C@@H](CO)2)[C@H](O)[C@@H](O)C(O)O2
74,OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H](OC[C@@H](O2)[C@@H](O)[C@H](O)[C@@H](O)C(O)2)1
77,OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H](O)C1O[C@H]([C@@H](CO)2)[C@H](O)[C@H](O)C(O)O2
80,OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O[C@](CO)(O2)[C@@H](O)[C@H](O)[C@@H](CO)2
83,OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)C1O[C@H]([C@@H](CO)2)[C@H](O)[C@@H](O)C(O)O2
86,OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)C1O[C@@H]([C@@H](O)2)[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)2
89,OC[C@@H](O1)[C@@H](O)[C@H](O)C(CO)(OC[C@@H](O2)[C@@H](O)[C@H](O)C(O)(CO)2)1
92,OCC=Cc(c2)cc(OC)c(c2)O[C@H](O1)[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)1
95,OC[C@@H](O1)[C@@H](O)[C@H](OC(O2)[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)2)[C@@H](O)C(O)1
98,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)C(O)1
101,C(=C1CC=C(CCC=C(C)CCC=C(C)C)C)C(C(C)=C(C1O)C)O
104,NC(N4)=Nc(c3C(=O)4)n(cn3)[C@H](O1)[C@H](O)[C@H](O2)[C@@H](COP(O)(=O)2)1
107,OC[C@@H](O1)[C@@H](O4)[C@@H](OP(O)(=O)4)[C@@H]1n(c3)c(N=2)c(n3)C(=O)NC(N)2
110,Cc(n2)nc(N)c(c2)C[n+1](c1)c(C)c(CCOP(O)(O)=O)s1
113,Nc(n3)c(n2)c(nc3)n(c2)[C@H](O1)[C@H](N)[C@H](O)[C@@H](COP(O)(O)=O)1
116,OC[C@@H](O1)[C@@H](O)[C@@H](OP(O)(O)=O)[C@@H]1n(c3)c(n2)c(n3)c(N)nc2
119,OC[C@@H](O1)[C@@H](OP(O)(O)=O)[C@@H](O)[C@@H]1n(c3)c(n2)c(n3)c(N)nc2
122,NC(N3)=Nc(c2C(=O)3)n(cn2)[C@@H](C1)O[C@H](COP(O)(O)=O)[C@@H](O)1
125,Nc(n3)c(c(nc3)2)n(cn2)[C@H](O1)[C@H](O)[C@H](O)[C@@H](COP(O)(O)=O)1
128,Nc(n3)c(n2)c(nc3)n(c2)[C@H](O1)[C@H](O)[C@H](O)[C@@H](COP(O)(O)=O)1
131,O=C(N3)c(n2)c(N=C3)n(c2)[C@H](O1)[C@H](O)[C@H](O)[C@@H](COP(O)(O)=O)1
134,Oc(c3)cc(O1)c(c3)CCC([H])1c(c2)cccc2
139,Oc(c3)c(C(=O)2)c(cc3)OC(=C2)c(c1)cccc1
144,OC(=O)c(c1)c(ccc1)NCC(=O)[C@H](O)[C@H](O)COP(O)(O)=O
147,COc(c2)ccc(c2)C(=O)C=Cc(c1)cccc1
152,Oc(c3)cc(O1)c(c3)C(=O)CC1c(c2)cccc2
157,Oc(c3)c(ccc3)C(=C1)Oc(c2)c(ccc2)C(=O)1
162,Oc(c2)ccc(c2)C=CC(=O)c(c1)ccc(O)c1
167,Oc(c2)cc(cc2)C=CC(=O)c(c1)cc(O)cc1
172,Oc(c2)c(ccc2)C=CC(=O)c(c1)c(O)ccc1
177,Oc(c2)cc(O)c(c2)C(=O)C=Cc(c1)cccc1
182,Oc(c2)c(ccc2)C(=O)C=C(O)c(c1)cccc1
187,Oc(c3)cc(O)c(c3)c(c1)oc(c2)c(ccc(O)2)1
192,Cc(c1)c(C)cc(n2)c1nc(C(=O)3)c(NC(=O)N3)2
195,Oc(c2)cc(O)c(c2)C(=O)CCc(c1)cccc1
200,Oc(c3)ccc(c3)C(C2)Cc(c1)c(O2)cc(O)c1
205,Oc(c3)ccc(c3)C(C1)Oc(c2)c(ccc(O)2)C1
210,Oc(c3)ccc(c3)C([H])(C1)Oc(c2)c(ccc(O)2)C1
215,COc(c3)cc(O1)c(c3)C(=O)C=C1c(c2)cccc2
